daily_views_yesterday,channel_title,description,title,all_views,dislikes,published_at,category_id,has_yesterday,channel_id,comment_count,href,likes,created_date,daily_views_today,_id,id,favorite_count,update_video_data
10000.0,,,Taylor Swift - Shake It Off,,,,,,,,https://www.youtube.com/watch?v=nfWlot6h_JM,,2016-05-18 10:27:53.311000,,573c046148ff165ea180b9b9,nfWlot6h_JM,,2016-06-05 04:31:00
10000.0,,,Katy Perry - Roar (Official),,,,,,,,https://www.youtube.com/watch?v=CevxZvSJLk8,,2016-05-18 10:27:53.311000,,573c046148ff165ea180b9ba,CevxZvSJLk8,,2016-06-05 04:31:00
10000.0,,,Meghan Trainor - All About That Bass,,,,,,,,https://www.youtube.com/watch?v=7PCkvCPvDXk,,2016-05-18 10:27:53.312000,,573c046148ff165ea180b9bb,7PCkvCPvDXk,,2016-06-05 04:31:00
10000.0,,,Justin Bieber - Baby ft. Ludacris,,,,,,,,https://www.youtube.com/watch?v=kffacxfA7G4,,2016-05-18 10:27:53.313000,,573c046148ff165ea180b9bc,kffacxfA7G4,,2016-06-05 04:31:00
10000.0,,,Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),,,,,,,,https://www.youtube.com/watch?v=YqeW9_5kURI,,2016-05-18 10:27:53.313000,,573c046148ff165ea180b9bd,YqeW9_5kURI,,2016-06-05 04:31:00
10000.0,,,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",,,,,,,,https://www.youtube.com/watch?v=KQ6zr6kCPj8,,2016-05-18 10:27:53.315000,,573c046148ff165ea180b9c2,KQ6zr6kCPj8,,2016-06-05 04:31:00
10000.0,,,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,,,,,,,,https://www.youtube.com/watch?v=RgKAFK5djSk,,2016-05-18 10:27:56.803000,,573c046448ff165ea180b9cc,RgKAFK5djSk,,2016-06-05 04:31:00
10000.0,,,Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),,,,,,,,https://www.youtube.com/watch?v=YqeW9_5kURI,,2016-05-18 10:27:56.804000,,573c046448ff165ea180b9cd,YqeW9_5kURI,,2016-06-05 04:31:00
10000.0,,,Romeo Santos - Propuesta Indecente (Official Video),,,,,,,,https://www.youtube.com/watch?v=QFs3PIZb3js,,2016-05-18 10:27:56.804000,,573c046448ff165ea180b9ce,QFs3PIZb3js,,2016-06-05 04:31:00
10000.0,,,Popular Music Videos,,,,,,,,https://www.youtube.com/watch?v=K_9tX4eHztY&list=PLFgquLnL59alCl_2TQvOiD5Vgm1hCaGSI,,2016-05-18 10:27:56.805000,,573c046448ff165ea180b9cf,K_9tX4eHztY,,2016-06-05 04:31:00
10000.0,,,Michel Teló - Ai Se Eu Te Pego -  Video Oficial (Assim você me mata),,,,,,,,https://www.youtube.com/watch?v=hcm55lU9knw,,2016-05-18 10:27:56.805000,,573c046448ff165ea180b9d0,hcm55lU9knw,,2016-06-05 04:31:00
10000.0,,,"Skrillex and Diplo - ""Where Are Ü Now"" with Justin Bieber (Official Video)",,,,,,,,https://www.youtube.com/watch?v=nntGTK2Fhb0,,2016-05-18 10:27:56.806000,,573c046448ff165ea180b9d1,nntGTK2Fhb0,,2016-06-05 04:31:00
10000.0,,,Ylvis - The Fox (What Does The Fox Say?) [Official music video HD],,,,,,,,https://www.youtube.com/watch?v=jofNR_WkoCE,,2016-05-18 10:27:56.806000,,573c046448ff165ea180b9d2,jofNR_WkoCE,,2016-06-05 04:31:00
10000.0,,,David Guetta - She Wolf (Falling To Pieces) ft. Sia (Official Video),,,,,,,,https://www.youtube.com/watch?v=PVzljDmoPVs,,2016-05-18 10:27:56.807000,,573c046448ff165ea180b9d4,PVzljDmoPVs,,2016-06-05 04:31:00
10000.0,,,"Jason Derulo - ""Talk Dirty"" feat. 2 Chainz (Official HD Music Video)",,,,,,,,https://www.youtube.com/watch?v=RbtPXFlZlHg,,2016-05-18 10:27:56.808000,,573c046448ff165ea180b9d6,RbtPXFlZlHg,,2016-06-05 04:31:00
10000.0,,,Saad Lamjarred - LM3ALLEM ( Exclusive Music Video) |  (سعد لمجرد - لمعلم (فيديو كليب حصري,,,,,,,,https://www.youtube.com/watch?v=_Fwf45pIAtM,,2016-05-18 10:27:56.808000,,573c046448ff165ea180b9d7,_Fwf45pIAtM,,2016-06-05 04:31:00
10000.0,,,David Guetta - Turn Me On ft. Nicki Minaj (Official Video),,,,,,,,https://www.youtube.com/watch?v=YVw7eJ0vGfM,,2016-05-18 10:27:56.809000,,573c046448ff165ea180b9d8,YVw7eJ0vGfM,,2016-06-05 04:31:00
10000.0,,,Pitbull - I Know You Want Me (Calle Ocho) OFFICIAL VIDEO (Ultra Music),,,,,,,,https://www.youtube.com/watch?v=E2tMV96xULk,,2016-05-18 10:27:56.810000,,573c046448ff165ea180b9db,E2tMV96xULk,,2016-06-05 04:31:00
10000.0,,,Flo Rida - GDFR ft. Sage The Gemini and Lookas [Official Video],,,,,,,,https://www.youtube.com/watch?v=F8Cg572dafQ,,2016-05-18 10:27:56.810000,,573c046448ff165ea180b9dc,F8Cg572dafQ,,2016-06-05 04:31:00
10000.0,,,Sean Paul - Got 2 Luv U Ft. Alexis Jordan [Official Music Video],,,,,,,,https://www.youtube.com/watch?v=tDq3fNew1rU,,2016-05-18 10:27:56.810000,,573c046448ff165ea180b9dd,tDq3fNew1rU,,2016-06-05 04:31:00
10000.0,,,Pablo Alboran - Donde Está El Amor ft. Jesse & Joy (Videoclip oficial),,,,,,,,https://www.youtube.com/watch?v=POP9_phDB2g,,2016-05-18 10:27:56.811000,,573c046448ff165ea180b9de,POP9_phDB2g,,2016-06-05 04:31:00
10000.0,,,Selena Gomez & The Scene - Love You Like A Love Song,,,,,,,,https://www.youtube.com/watch?v=EgT_us6AsDg,,2016-05-18 10:27:59.438000,,573c046748ff165ea180b9e0,EgT_us6AsDg,,2016-06-05 04:31:00
10000.0,,,The Black Eyed Peas - Where Is The Love?,,,,,,,,https://www.youtube.com/watch?v=WpYeekQkAdc,,2016-05-18 10:27:59.438000,,573c046748ff165ea180b9e1,WpYeekQkAdc,,2016-06-05 04:31:00
10000.0,,,MACKLEMORE & RYAN LEWIS - SAME LOVE feat. MARY LAMBERT (OFFICIAL VIDEO),,,,,,,,https://www.youtube.com/watch?v=hlVBg7_08n0,,2016-05-18 10:27:59.439000,,573c046748ff165ea180b9e2,hlVBg7_08n0,,2016-06-05 04:31:00
10000.0,,,Love is an Open Door - in Real Life (Frozen Cover),,,,,,,,https://www.youtube.com/watch?v=z5B_CWxsNJ4,,2016-05-18 10:27:59.439000,,573c046748ff165ea180b9e3,z5B_CWxsNJ4,,2016-06-05 04:31:00
10000.0,,,Hailee Steinfeld - Love Myself,,,,,,,,https://www.youtube.com/watch?v=bMpFmHSgC4Q,,2016-05-18 10:27:59.439000,,573c046748ff165ea180b9e4,bMpFmHSgC4Q,,2016-06-05 04:31:00
10000.0,,,Ne-Yo - Let Me Love You (Until You Learn To Love Yourself),,,,,,,,https://www.youtube.com/watch?v=crrOl0egI00,,2016-05-18 10:27:59.440000,,573c046748ff165ea180b9e5,crrOl0egI00,,2016-06-05 04:31:00
10000.0,,,The Finger Family Song | Finger Family | Nursery Rhymes | Kids Songs | Baby Songs,,,,,,,,https://www.youtube.com/watch?v=dUWJ23mjQ_w,,2016-05-18 10:27:59.440000,,573c046748ff165ea180b9e6,dUWJ23mjQ_w,,2016-06-05 04:31:00
10000.0,,,Whitney Houston - I will Always Love You (Laura) | The Voice Kids 2013 | Blind Audition | SAT.1,,,,,,,,https://www.youtube.com/watch?v=QWcpoQirMoU,,2016-05-18 10:27:59.441000,,573c046748ff165ea180b9e7,QWcpoQirMoU,,2016-06-05 04:31:00
10000.0,,,Stand By Me | Playing For Change | Song Around the World,,,,,,,,https://www.youtube.com/watch?v=Us-TVg40ExM,,2016-05-18 10:27:59.441000,,573c046748ff165ea180b9e8,Us-TVg40ExM,,2016-06-05 04:31:00
10000.0,,,"Exclusive: LOVE DOSE Full Video Song | Yo Yo Honey Singh, Urvashi Rautela | Desi Kalakaar",,,,,,,,https://www.youtube.com/watch?v=TvngY4unjn4,,2016-05-18 10:27:59.442000,,573c046748ff165ea180b9ec,TvngY4unjn4,,2016-06-05 04:31:00
10000.0,,,Little Mix - Secret Love Song (Official Video) ft. Jason Derulo,,,,,,,,https://www.youtube.com/watch?v=qgy7vEje5-w,,2016-05-18 10:27:59.442000,,573c046748ff165ea180b9ed,qgy7vEje5-w,,2016-06-05 04:31:00
10000.0,,,"Selena Gomez & The Scene - ""Love You Like A Love Song"" (Music Video)",,,,,,,,https://www.youtube.com/watch?v=4ulaGjwiIbo,,2016-05-18 10:27:59.443000,,573c046748ff165ea180b9ee,4ulaGjwiIbo,,2016-06-05 04:31:00
10000.0,,,"""Aashiq Banaya Aapne Title Song"" (Full HD Song) Aashiq Banaya Aapne",,,,,,,,https://www.youtube.com/watch?v=0bAVd9jJE2Q,,2016-05-18 10:27:59.444000,,573c046748ff165ea180b9f2,0bAVd9jJE2Q,,2016-06-05 04:31:00
